mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	thoroughbass_duration	thoroughbass_level_1	slur
10	10	37	37	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	66			
10	10	38	38	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	67			
10	10	39	39	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	68			
10	10	36	36	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	69			
10	10	37	37	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				3/8	6	
10	10	37	37	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	70			
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	71			
10	10	77/2	77/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_	
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	72			
10	10	39	39	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	5	
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	73			
11	11	40	40	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	74			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	75			
11	11	42	42	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	76			
11	11	40	40	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	5	
11	11	40	40	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	77			
11	11	41	41	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	78			
11	11	42	42	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/2	#	
11	11	42	42	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	79			
12	12	45	45	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	80			
12	12	46	46	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81			
12	12	47	47	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	82			
12	12	45	45	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h	
12	12	45	45	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	83			
12	12	46	46	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	
12	12	46	46	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	84			
12	12	47	47	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	85			0
13	13	48	48	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	86			
13	13	49	49	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	87			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	88			
13	13	48	48	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	2	
13	13	48	48	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	89			
13	13	49	49	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	
13	13	49	49	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	90			
13	13	50	50	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	91			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	92			
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	93			
14	14	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	94			
14	14	53	53	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	95			
14	14	54	54	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	6	
14	14	54	54	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	96			
14	14	55	55	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	97			1
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	98			
15	15	57	57	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	99			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	100			
15	15	56	56	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	2	
15	15	56	56	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	101			
15	15	57	57	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	
15	15	57	57	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	102			
15	15	58	58	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	103			
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	104			
16	16	61	61	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	105			
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	106			
16	16	63	63	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	107			
16	16	60	60	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	108			
16	16	61	61	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	109			
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	110			
16	16	125/2	125/2	0.0	5/8	5/8	FiguredBass	4/4	2	1	0				1/8	_	
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	111			
16	16	63	63	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	6	
16	16	63	63	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	112			
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	113			
17	17	65	65	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	114			
17	17	66	66	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	115			
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	116			
17	17	64	64	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	117			
17	17	65	65	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	
17	17	65	65	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	118			
17	17	66	66	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	119			
17	17	67	67	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	120			
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	121			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	122			
18	18	68	68	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	123			
18	18	69	69	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	7	
18	18	69	69	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	124			
18	18	70	70	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	125			
19	19	72	72	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	126			
19	19	73	73	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	127			
19	19	74	74	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	128			
19	19	75	75	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	129			
19	19	72	72	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	130			
19	19	73	73	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	131			
19	19	74	74	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	
19	19	74	74	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	132			
19	19	75	75	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	133			
20	20	76	76	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	134			
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135			
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136			
20	20	76	76	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	#	
20	20	76	76	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	137			
20	20	78	78	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	138			
20	20	79	79	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				3/8	5	
20	20	79	79	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	139			
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	140			
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	141			
21	21	82	82	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	142			
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	143			
21	21	83	83	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	144			
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	145			
21	21	161/2	161/2	0.0	1/8	1/8	FiguredBass	4/4	2	1	0				1/8	_	
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	146			
21	21	81	81	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	6	
21	21	81	81	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	147			
21	21	82	82	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	148			
21	21	83	83	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	#	
21	21	83	83	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	149			
22	22	84	84	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	150			
22	22	86	86	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	151			
22	22	87	87	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	152			
22	22	84	84	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	153			
22	22	86	86	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	
22	22	86	86	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	154			
22	22	87	87	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	155			
23	23	88	88	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	156			
23	23	89	89	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	157			
23	23	90	90	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	158			
23	23	91	91	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	159			
23	23	88	88	0.0	0	0	FiguredBass	4/4	2	1	0				1/4	#	
23	23	88	88	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	160			
23	23	89	89	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	h	
23	23	89	89	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	161			
23	23	90	90	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	5	
23	23	90	90	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	162			
23	23	91	91	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	163			
24	24	92	92	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	164			
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165			
24	24	92	92	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	#	
24	24	92	92	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	166			
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	167			
25	25	96	96	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	168			
25	25	97	97	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	169			
25	25	98	98	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	170			
25	25	96	96	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	171			
25	25	97	97	0.0	1/4	1/4	FiguredBass	4/4	2	1	0				1/4	5	
25	25	97	97	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	172			
25	25	98	98	0.0	1/2	1/2	FiguredBass	4/4	2	1	0				1/4	9	
25	25	98	98	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	173			
25	25	99	99	0.0	3/4	3/4	FiguredBass	4/4	2	1	0				1/4	8	
25	25	99	99	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	174			
26	26	100	100	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	175			
26	26	100	100	0.0	0	0	FiguredBass	4/4	2	1	0				1/2	#	
26	26	100	100	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	176			
